region,division,,state
Northeast_Region,New_England_Division,,Connecticut
Northeast_Region,New_England_Division,,Maine
Northeast_Region,New_England_Division,,Massachusetts
Northeast_Region,New_England_Division,,New Hampshire
Northeast_Region,New_England_Division,,Rhode Island
Northeast_Region,New_England_Division,,Vermont
Northeast_Region,Middle_Atlantic_Division,,New Jersey
Northeast_Region,Middle_Atlantic_Division,,New York
Northeast_Region,Middle_Atlantic_Division,,Pennsylvania
Midwest_Region,East_North_Central_Division,,Illinois
Midwest_Region,East_North_Central_Division,,Indiana
Midwest_Region,East_North_Central_Division,,Michigan
Midwest_Region,East_North_Central_Division,,Ohio
Midwest_Region,East_North_Central_Division,,Wisconsin
Midwest_Region,West_North_Central_Division,,Iowa
Midwest_Region,West_North_Central_Division,,Kansas
Midwest_Region,West_North_Central_Division,,Minnesota
Midwest_Region,West_North_Central_Division,,Missouri
Midwest_Region,West_North_Central_Division,,Nebraska
Midwest_Region,West_North_Central_Division,,North Dakota
Midwest_Region,West_North_Central_Division,,South Dakota
South_Region,South_Atlantic_Division,,Delaware
South_Region,South_Atlantic_Division,,District of Columbia
South_Region,South_Atlantic_Division,,Florida
South_Region,South_Atlantic_Division,,Georgia
South_Region,South_Atlantic_Division,,Maryland
South_Region,South_Atlantic_Division,,North Carolina
South_Region,South_Atlantic_Division,,South Carolina
South_Region,South_Atlantic_Division,,Virginia
South_Region,South_Atlantic_Division,,West Virginia
South_Region,East_South_Central_Division,,Alabama
South_Region,East_South_Central_Division,,Kentucky
South_Region,East_South_Central_Division,,Mississippi
South_Region,East_South_Central_Division,,Tennessee
South_Region,West_South_Central_Division,,Arkansas
South_Region,West_South_Central_Division,,Louisiana
South_Region,West_South_Central_Division,,Oklahoma
South_Region,West_South_Central_Division,,Texas
West_Region,Mountain_Division,,Arizona
West_Region,Mountain_Division,,Colorado
West_Region,Mountain_Division,,Idaho
West_Region,Mountain_Division,,Montana
West_Region,Mountain_Division,,Nevada
West_Region,Mountain_Division,,New Mexico
West_Region,Mountain_Division,,Utah
West_Region,Mountain_Division,,Wyoming
West_Region,Pacific_Division,,Alaska
West_Region,Pacific_Division,,California
West_Region,Pacific_Division,,Hawaii
West_Region,Pacific_Division,,Oregon
West_Region,Pacific_Division,,Washington
